Model:	LI-7810
SN:	TG10-01146
Software Version:	2.0.25
Timestamp:	2022-11-11 09:44:13
Timezone:	America/Toronto
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1668177894	127026081	175	256	2022-11-11	09:44:54	nan	nan	nan	97.0198	19.4802	96.5624	43.2153	0	0	19.458	-16000	0	15.8442	 44
DATA	1668177895	127026081	179	256	2022-11-11	09:44:55	nan	nan	nan	97.0202	19.5021	96.562	43.2153	0	0	19.4815	-16000	0	15.8426	 29
DATA	1668177896	127026081	183	256	2022-11-11	09:44:56	nan	nan	nan	97.0198	19.5241	96.562	43.216	0	0	19.5044	-16000	0	15.8418	246
DATA	1668177897	126734018	187	256	2022-11-11	09:44:57	nan	nan	nan	97.0202	19.5457	96.5616	43.216	0	0	19.5276	-16000	0	15.8402	 49
DATA	1668177898	126734018	191	256	2022-11-11	09:44:58	nan	nan	nan	97.0194	19.5676	96.5616	43.2166	0	0	19.5507	-16000	0	15.8398	124
DATA	1668177899	126734018	195	256	2022-11-11	09:44:59	nan	nan	nan	97.0198	19.5886	96.5612	43.2168	0	0	19.5739	-16000	0	15.8387	140
DATA	1668177900	126734018	199	256	2022-11-11	09:45:00	nan	nan	nan	97.0194	19.6103	96.5612	43.2175	0	0	19.5968	-16000	0	15.8375	 92
DATA	1668177901	126734018	203	256	2022-11-11	09:45:01	nan	nan	nan	97.019	19.631	96.5612	43.2175	0	0	19.6199	-16000	0	15.8359	235
DATA	1668177902	126734018	207	256	2022-11-11	09:45:02	nan	nan	nan	97.019	19.6508	96.5608	43.2179	0	0	19.6413	-16000	0	15.8344	 34
DATA	1668177903	126734018	211	256	2022-11-11	09:45:03	nan	nan	nan	97.0194	19.672	96.5612	43.2183	0	0	19.6651	-16000	0	15.8344	 25
DATA	1668177904	126434087	215	256	2022-11-11	09:45:04	nan	nan	nan	97.0202	19.6927	96.5596	43.2183	0	0	19.688	-16000	0	15.8332	 45
DATA	1668177905	126434087	219	256	2022-11-11	09:45:05	nan	nan	nan	97.0198	19.7134	96.5592	43.2188	0	0	19.7109	-16000	0	15.8324	101
DATA	1668177906	126434087	223	256	2022-11-11	09:45:06	nan	nan	nan	97.0194	19.7339	96.5596	43.219	0	0	19.7341	-16000	0	15.8312	 45
DATA	1668177907	126434087	227	256	2022-11-11	09:45:07	nan	nan	nan	97.019	19.7542	96.5604	43.219	0	0	19.7567	-16000	0	15.83	152
